Created_Time,Updated_Time,ABC News,Message,Comment_Count
2020-11-19T14:30:43+0000,2020-11-20T17:57:53+0000,ABC News,"""Smell the sea, feel the sky, let your soul and spirit fly,"" wrote #RakulPreetSingh  (Image courtesy: Instagram)",34
2020-11-19T14:00:32+0000,2020-11-20T19:17:19+0000,ABC News,"China has established a village 2 km within Bhutan's territory, very close to Doklam where the Chinese and Indian militaries had a tense standoff in 2017, images posted by a senior journalist with the Chinese state media showed on Thursday. In tweets that have since been deleted, Shen Shiwei, a senior producer with Chinese CGTN News, posted the images this morning of the village established in what he said was the Doklam area and later indicated the precise location of the settlement.",33
2020-11-19T13:28:15+0000,2020-11-20T17:46:42+0000,ABC News,"The forum will include a two-day virtual conference on renewable and future energy choices and an exhibition of manufacturers, developers, investors and innovators engaged in the clean energy sector.",2
2020-11-19T13:05:39+0000,2020-11-20T17:41:32+0000,ABC News,"The resolution recognised the significance of the genuine autonomy of Tibet and the Tibetan people, and the work done by 14th Dalai Lama to promote global peace, harmony and understanding.",1
2020-11-19T12:55:17+0000,,NDTV,#DishaPatani and #KrishnaShroff frequently comment on each other's posts  (Image courtesy: Instagram),96
2020-11-19T15:00:01+0000,2020-11-19T15:00:06+0000,The Times of India,"""We will regard the global, anti-Israel BDS campaign as anti-Semitic,"" Pompeo said, referring to the Boycott, Divestment and Sanctions movement.",14
2020-11-19T14:53:11+0000,2020-11-19T14:53:11+0000,The Times of India,Here's what #KrishnaShroff thinks about brother Tiger Shroff missing his target 3 out of 4 times,23
2020-11-19T14:45:00+0000,2020-11-19T14:45:05+0000,The Times of India,Sharif has been in London since November 2019 after getting bail from the court on medical grounds.,33
2020-11-19T14:40:11+0000,2020-11-19T15:02:35+0000,The Times of India,"""Modi government's report card: At the forefront in corona mortality, the lowest in GDP rate,"" he said in a tweet in Hindi.",57
2020-11-19T14:30:22+0000,2020-11-19T14:39:23+0000,The Times of India,A look at other contestants whose friendship went kaput over the past few seasons,1
2020-11-19T14:30:01+0000,2020-11-19T14:38:07+0000,The Times of India,One alternate cure that has been making the rounds for a couple of years is about how ‘Cow Urine’ or ‘Gaumutra’ can help cure cancer,1
2020-11-19T14:30:00+0000,2020-11-19T14:30:04+0000,The Times of India,"""I still feel I'm getting better and still feel like I've got a lot of cricket to offer Cricket Australia,"" said Lyon, who turns 33 on Friday.",32
2020-11-19T14:28:18+0000,2020-11-19T14:39:29+0000,The Times of India,Latest #Bollywood updates...,2
2020-11-19T14:26:00+0000,2020-11-19T14:32:29+0000,The Times of India,Pune: St. Patrick's Cathedral reopens after 8 months,2
2020-11-19T14:20:20+0000,2020-11-19T14:24:41+0000,The Times of India,"#COVID19 India Tracker | November 19, 2020   ➡️Confirmed cases: 8,958,483 ➡️Recovered: 8,383,602 (93.58%) ➡️Active cases: 443,303 (4.95%) ➡️Deaths: 131,578 (1.47%)  For complete coverage on Covid-19 outbreak, log on to: http://toi.in/coronavirus",1
2020-11-19T14:20:18+0000,2020-11-19T14:30:33+0000,The Times of India,"The national recovery rate has improved to 93.58 % with 83,83,602 recovered cases which exceeded active cases by 79,40,299, the health ministry said.",3
2020-11-19T14:19:29+0000,2020-11-19T14:59:21+0000,The Times of India,The Prime Minister said the country is in a unique position to leap ahead in this era of information.,3
2020-11-19T14:10:00+0000,2020-11-19T15:03:02+0000,The Times of India,"Sakhi Dhoni celebrates her 32nd birthday with hubby Mahendra Singh Dhoni, daughter Ziva and close family and friends",14
2020-11-19T14:08:02+0000,2020-11-19T14:08:02+0000,The Times of India,Here is a compilation of some of the hilarious ones,1
2020-11-19T14:05:00+0000,2020-11-19T14:05:05+0000,The Times of India,Vitamin D is extremely crucial for our overall health and well being,4
2020-11-19T13:51:58+0000,2020-11-19T13:57:54+0000,The Times of India,This pic of Sunny Leone strutting down LA street barefoot and dressed to the nines sums up her whole vivacious personality!,3
2020-11-19T13:51:13+0000,2020-11-19T14:56:25+0000,The Times of India,"In a video shared by Bharti, Ginni can be seen hiding from the camera",18
2020-11-19T13:35:58+0000,2020-11-19T13:51:03+0000,The Times of India,The announcement was made by Minister of Civil Aviation Hardeep Singh Puri at a B-School event in India recently.,3
2020-11-19T13:32:20+0000,2020-11-19T14:52:55+0000,The Times of India,Did you know #SushmitaSen once offered to help daughter Renee to find out her biological parents?,5
2020-11-19T13:30:51+0000,2020-11-19T15:00:37+0000,The Times of India,"Indira Gandhi was born on November 19, 1917, in Allahabad to Jawaharlal and Kamala Nehru. On 103rd birth anniversary of the 'Iron Lady of India' we take a look at her life in pictures",30
2020-11-19T13:30:01+0000,2020-11-19T15:00:22+0000,The Times of India,Easy ways to get a flat stomach!,7
2020-11-19T13:28:45+0000,2020-11-19T14:00:13+0000,The Times of India,Xiaomi is focusing a lot on the premium smartphone segment this year in India.,3
2020-11-19T13:20:04+0000,2020-11-19T13:57:57+0000,The Times of India,Pahuja's name is among 215 judicial officers who were transferred and posted with immediate effect by a notification issued by the high court on Wednesday,6
2020-11-19T13:19:30+0000,2020-11-19T13:44:24+0000,The Times of India,"As of now, no statement has been issued by the Bigg Boss team as to who will host Weekend Ka Vaar episodes in Salman Khan's absence.",3
2020-11-19T13:15:00+0000,2020-11-19T13:15:04+0000,The Times of India,"UK companies are turning to cheaper overseas labor to complete their post-Brexit customs paperwork, creating jobs in countries such as Romania and India due to a shortage of trained staff in Britain.",0
2020-11-19T13:06:07+0000,2020-11-19T13:13:32+0000,The Times of India,Most of 's income comes from set of lucrative sponsorship deals.,1
2020-11-19T13:05:00+0000,2020-11-19T13:42:45+0000,The Times of India,"Prime Minister Narendra Modi on Thursday said that Digital India, which was launched by the Centre in 2015, is no longer being seen as any regular government initiative but it has become a way of life.",5
2020-11-19T13:00:01+0000,2020-11-19T14:28:59+0000,The Times of India,"Top priority is to assure LVB depositors that their money is safe, Manoharan stated while adding that he's confident of timely merger with DBS India. He further mentioned that the bank has Rs 20,000 crore in deposits and Rs 17,000 crore in advances.",4
2020-11-19T13:00:01+0000,2020-11-19T14:28:59+0000,The Times of India,BB14: Salman Khan in self-isolation after his driver and two staff members test COVID-19 +ve,6
2020-11-19T13:00:01+0000,2020-11-19T14:28:59+0000,The Times of India,"Brexit creates jobs for customs staff in Eastern Europe, India",8
2020-11-19T06:55:00+0000,2020-11-19T15:59:37+0000,World Health Organization (WHO),"Top priority is to assure LVB depositors that their money is safe, Manoharan stated while adding that he's confident of timely merger with DBS India. He further mentioned that the bank has Rs 20,000 crore in deposits and Rs 17,000 crore in advances.",165
2020-11-18T22:52:00+0000,2020-11-19T15:58:44+0000,World Health Organization (WHO),"PM Modi hails Digital India as way of life, says 'Technology First' is Centre's governance model",187
2020-11-18T16:01:59+0000,2020-11-19T15:57:46+0000,World Health Organization (WHO),Lakshmi Vilas Bank has enough liquidity to pay back depositors: RBI appointed administrator,2315
2020-11-18T04:54:53+0000,2020-11-19T16:01:44+0000,World Health Organization (WHO),"Itâ€™s World Toilet Day!

Stop for a second and imagine what life would be like without a toilet. That is the daily reality of over half a billion people.

More than 700 children die every day from diarrhoea caused by unsafe water, sanitation and poor hygiene.

Clean and safe sanitation is needed for all.",12193
2020-11-17T15:27:29+0000,2020-11-19T16:01:13+0000,World Health Organization (WHO),This is how WHO technical experts are helping hospitals improve their structural design in response to COVID-19.,10414
2020-11-17T11:05:19+0000,2020-11-19T14:35:36+0000,World Health Organization (WHO),Live Q&A on COVID-19 with Dr Mike Ryan and Dr Maria Van Kerkhove. Ask your questions!,150
2020-11-17T06:12:00+0000,2020-11-19T15:53:18+0000,World Health Organization (WHO),"The WHO Academy has launched its first augmented reality course for health workers on the proper use of COVID-19 personal protective equipment.

This short course is available on the Academyâ€™s mobile learning app for all health workers ðŸŒŽðŸŒðŸŒ:

ðŸ“± https://whoa.page.link/ARPPE",337
2020-11-16T22:45:00+0000,2020-11-19T15:57:44+0000,World Health Organization (WHO),"#WearAMask and protect your loved ones from COVID-19.
But to break the chains of transmission, we must also:
-Keep physical distance
-Keep cleaning your Open hands
-Keep away from big crowds
-Keep covering your ðŸ‘„ and ðŸ‘ƒ when coughing
ð——ð—¼ ð—¶ð˜ ð—®ð—¹ð—¹!",15933
2020-11-16T16:26:41+0000,2020-11-19T15:22:50+0000,World Health Organization (WHO),"Today is World Prematurity Day.
1ï¸âƒ£ in ðŸ”Ÿ babies around the world are born preterm - before 37 weeks of ðŸ¤°.
 
Complications from prematurity is the leading cause of death for children under 5. Health service disruptions due to COVID-19 may have further devastating impacts and push back progress.",3992
2020-11-16T06:52:00+0000,2020-11-19T15:22:59+0000,World Health Organization (WHO),Cervical cancer can be prevented.,594
2020-11-15T22:27:00+0000,2020-11-19T15:48:43+0000,World Health Organization (WHO),COVID-19 has a wide range of symptoms. Find out more here â¬‡ï¸,11301
2020-11-15T14:03:27+0000,2020-11-19T10:32:54+0000,World Health Organization (WHO),Media briefing on COVID-19,234
2020-11-14T22:21:00+0000,2020-11-19T15:52:27+0000,World Health Organization (WHO),"How is WHO helping Mexico ðŸ‡²ðŸ‡½ respond to COVID-19?

ðŸ”Ž supporting surveillance
ðŸ§ª increasing diagnostic capacity
ðŸ‘©â€âš•ï¸ï¸ training health workers
ðŸ¥ repurposing and expanding hospitals",3781
2020-11-14T15:47:45+0000,2020-11-19T15:34:37+0000,World Health Organization (WHO),"Every 24 seconds, the ðŸŒ loses:
a child
a father
a mother
a brother
a sister
a friend
a colleague...
These deaths could have been prevented.

Remember those who died.
Support those who survived.
Take action to save lives. 

It's World Day of Remembrance for Road Traffic Victims.",6043
2020-11-14T06:56:40+0000,2020-11-19T12:35:03+0000,World Health Organization (WHO),"Join us in Kim Sledgeâ€™s special edition cover:
1. Record your own video 
2. Share it oTikTok or upload at http://unitystrong.com 
3. Help promote health and stop COVID-19",5846
2020-11-13T23:06:12+0000,2020-11-19T10:33:24+0000,World Health Organization (WHO),"Are you a nurse, doctor or other health professional?
Here are some ways to cope with the stress during COVID-19.",492
2020-11-13T15:50:36+0000,2020-11-19T15:09:04+0000,World Health Organization (WHO),"Today is World Diabetes Day.
Diabetes is a chronic disease that occurs either when the pancreas does not produce enough insulin or when the body cannot effectively use the insulin it produces.

COVID-19 causes fear and suffering for people with diabetes:
1. They have increased risk of severe disease and death when infected with COVID-19
2. Delay in diagnosis may result in more advanced disease and complications
3. Delayed, incomplete, interrupted treatment",21201
2020-11-19T11:39:59+0000,2020-11-19T15:14:21+0000,World News Now,WATCH LIVE: Veterans and military families call with Dr. Jill Biden. https://abcn.ws/35FFvSb,7
2020-11-19T11:36:06+0000,2020-11-19T15:14:28+0000,World News Now,"HAPPENING NOW: We have the latest after the U.S. marked a grim milestone in the pandemic, with the COVID-19 death toll passing 250,000. https://abcn.ws/3kEm0ho",67
2020-11-19T11:34:46+0000,2020-11-19T15:14:02+0000,World News Now,HAPPENING NOW: Hawaii Gov. Ige gives COVID-19 update.,4
2020-11-19T10:11:03+0000,2020-11-19T13:45:34+0000,World News Now,HAPPENING NOW: Vice President Pence and White House COVID-19 task force hold news conference.,3
2020-11-19T03:46:11+0000,2020-11-19T15:13:12+0000,World News Now,WATCH LIVE: President-elect Joe Biden and Vice President-elect Kamala Harris deliver remarks on COVID-19 after a virtual meeting with the National Governors Association's Executive Committee. https://abcn.ws/35FFvSb,32
2020-11-19T02:00:27+0000,2020-11-19T14:02:52+0000,World News Now,HAPPENING NOW: Minnesota Gov. Walz gives COVID-19 update.,6
2020-11-19T01:58:41+0000,2020-11-19T13:04:36+0000,World News Now,WATCH LIVE: Texas Gov. Abbott holds news conference.,8
2020-11-19T01:58:06+0000,2020-11-19T14:59:34+0000,World News Now,"LIVE: Aerials of COVID-19 testing site in Orange County, Florida. https://abcn.ws/3kEm0ho",102
2020-11-18T23:59:32+0000,2020-11-19T13:45:48+0000,World News Now,WATCH LIVE: Utah Gov. Herbert holds news conference.,9
2020-11-20T07:40:50+0000,2020-11-20T07:40:52+0000,WION,"Wife of late actor Chadwick Boseman, Simone Ledward, has been granted the authority to administer his estate",2
2020-11-20T07:38:33+0000,2020-11-20T07:38:33+0000,WION,"BCCI has decided to include players with 10 T20I matches in its Central Contracts, according to reports",1
2020-11-20T07:30:43+0000,2020-11-20T07:30:45+0000,WION,Space telescope that featured in James Bond film to close down amid collapse news,0
2020-11-20T07:20:50+0000,2020-11-20T07:41:39+0000,WION,"Al-Qaeda and Islamic State are exploiting the #coronavirus pandemic to propagate conspiracy theories that the virus is ""God's wrath upon the West,"" a UN report claimed",5
2020-11-20T07:10:00+0000,2020-11-20T07:10:03+0000,WION,Disney is now making a difficult decision of skipping theatrical release for their upcoming films and heading straight to Disney+ due to the ongoing coronavirus crisis,0
2020-11-20T07:00:00+0000,2020-11-20T07:00:02+0000,WION,"#TodayInHistory | 1998: First segment of International Space Station, Zarya is launched",2
2020-11-20T06:35:30+0000,2020-11-20T07:39:18+0000,WION,"Streaks of what appeared to be the former New York City mayor's hair dye or makeup ran down the side of his face, amusing social media users",18
2020-11-20T06:20:01+0000,2020-11-20T06:20:05+0000,WION,"Barclays lifted its fiscal 2022 growth forecast for the Indian economy to 8.5% from an earlier projection of 7%, saying the country would â€œreturn to normalâ€ faster than expected. Mohammed Saleh tells you more",3
2020-11-20T06:10:46+0000,2020-11-20T06:10:48+0000,WION,Brad Pitt-starrer 'Bullet Train' might have Lady Gaga joining the cast soon!,1
2020-11-20T06:00:24+0000,2020-11-20T06:00:24+0000,WION,"US President Donald Trump's daughter-in-law, Lara Trump, may be considering to run for Senate in North Carolina in 2022

Read more: https://bit.ly/35Mb1ho",3
2020-11-20T06:00:00+0000,2020-11-20T07:05:30+0000,WION,The Vatican said that it is carrying out a probe after Pope Francis's official Instagram account liked a photo of a Brazilian model,3
2020-11-20T05:50:45+0000,2020-11-20T07:41:47+0000,WION,"Britain and Canada are very close to agreeing on the terms of a free trade deal and the agreement could be announced in the coming days, according to reports. Mohammed Saleh brings you the story",191
2020-11-20T05:50:00+0000,2020-11-20T07:20:37+0000,WION,"With 45,882 new #COVID19 infections, India's caseload surged above the 90-lakh mark",1
2020-11-20T05:40:42+0000,2020-11-20T05:40:45+0000,WION,Bollywood actor Akshay Kumar has served a defamation notice to a YouTuber and has sought Rs 500 crore in damages for making â€œfalse and baseless allegationsâ€ against him,0
2020-11-20T19:32:49+0000,2020-11-20T19:33:35+0000,USA TODAY,"The Capitol Christmas tree has arrived and been set up on the West Lawn of the U.S. Capitol Building in Washington, D.C.",1
2020-11-20T19:32:47+0000,2020-11-20T19:34:01+0000,USA TODAY,"A visit to the mall to sit on the jolly old elf's lap may be yet another tradition knocked to the wayside or dramatically altered by COVID-19, as some stores cancel in-person visits.",1
2020-11-20T19:11:54+0000,2020-11-20T19:36:28+0000,USA TODAY,"After the Pope's Instagram account ""liked"" a risquÃ© photo, the Pope's social media team reached out to Instagram for an explanation.",66
2020-11-20T18:49:21+0000,2020-11-20T18:49:23+0000,USA TODAY,Open enrollment for 2021 benefits will kick off in November when companies ask their workers to pick everything from medical and dental plans to long-term disability insurance.,8
2020-11-20T18:06:26+0000,2020-11-20T19:31:18+0000,USA TODAY,The outlook continues to be clouded by COVID-19 but a team of University of Michigan economists sees encouraging signs that could bring economic life close to normal by the end of 2021.,37
2020-11-20T17:32:01+0000,2020-11-20T19:17:39+0000,USA TODAY,"It's smart to set credit goals, and good credit is a common starting point. You can't be exactly sure how fast you'll get there, but if you follow the right financial habits, you'll make steady progress.",32
2020-11-20T17:04:51+0000,2020-11-20T19:24:50+0000,USA TODAY,MSNBC's Rachel Maddow thought COVID-19 'might kill' her longtime partner Susan Mikula after Mikula tested positive for the virus. https://bit.ly/3kOMson,35
2020-11-20T17:03:55+0000,2020-11-20T19:30:14+0000,USA TODAY,"If there were a magic savings number that guaranteed financial security throughout retirement, saving for that milestone would be a lot easier.",33
2020-11-20T16:23:44+0000,2020-11-20T18:49:57+0000,USA TODAY,"Grammy, Emmy and Tony winner Lin-Manuel Miranda kicked off the show with a strong message about Latin music. Speaking in Spanish and English, he said Latin music ""unites all of us and makes us human"" and later adding: ""This is our night.""",28
2020-11-20T16:01:41+0000,2020-11-20T19:29:12+0000,USA TODAY,"Activists expect Biden not only to use executive orders to roll back a range of anti-LGBTQ policies enacted by Trump, but also appoint an LGBTQ leader to his cabinet and choose openly LGBTQ judges.",83
2020-11-20T16:00:40+0000,2020-11-20T18:15:59+0000,USA TODAY,Rolling over is child's play! This airman's dog knows how to salute the flag! ðŸ‡ºðŸ‡¸,27
2020-11-20T15:42:03+0000,2020-11-20T19:37:01+0000,USA TODAY,"Two Republican senators on Thursday sharply denounced the last-ditch efforts by President Donald Trump and his legal team to persuade state and local politicians to reverse the Nov. 3 election, which he lost to President-elect Joe Biden.",585
2020-11-20T15:37:32+0000,2020-11-20T19:34:31+0000,USA TODAY,Rudy Giuliani had a very bad hair day. https://bit.ly/3nEHDjq,170
2020-11-20T15:17:43+0000,2020-11-20T18:16:29+0000,USA TODAY,What kind of grocery shopper are you? Take this quiz to find out.,25
2020-11-20T14:41:05+0000,2020-11-20T19:14:40+0000,USA TODAY,Pfizer and its German partner BioNTech will seek emergency use authorization from the Food and Drug Administration for its COVID-19 candidate vaccine. The companies intend to submit the request Friday.,44
2020-11-20T14:00:55+0000,2020-11-20T19:35:00+0000,USA TODAY,"The Capitol Christmas Tree arrives in Washington, D.C.",561
2020-11-20T13:35:20+0000,2020-11-20T18:17:13+0000,USA TODAY,"Don't worry, kids. Dr. Anthony Fauci, the nation's leading infectious disease expert, told us Santa is ""not going to be spreading any infections"" this holiday.",90
2020-11-20T13:03:23+0000,2020-11-20T15:08:52+0000,USA TODAY,"Growing up in Mississippi, Noah Harris didn't picture himself going to Harvard. Now he's making history there and passing on an important lesson to kids everywhere.",42
2020-11-20T12:42:17+0000,2020-11-20T19:22:49+0000,USA TODAY,Skepticism runs high about whether Joe Biden's history can translate to the post-Trump era. But even veteran political hands from both parties say they haven't given up entirely on the idea that relationships still matter in Washington.,192
2020-11-20T20:00:50+0000,2020-11-20T20:01:52+0000,Al Jazeera English,â€œRight-wing extremism is the biggest threat to our security â€“ across Europe.â€ German Foreign Minister Heiko Maas,3
2020-11-20T19:31:40+0000,2020-11-20T20:08:25+0000,Al Jazeera English,"War-torn Yemen is in imminent danger of the worst famine the world has seen in decades, the UN warns https://aje.io/zz9k2",46
2020-11-20T19:14:29+0000,2020-11-20T20:10:35+0000,Al Jazeera English,"Some 4,000 prisoners, most of them charged with terrorism offences, are believed to be on death row in Iraq, according to UN experts.",46
2020-11-20T18:15:51+0000,2020-11-20T20:07:13+0000,Al Jazeera English,The preparations for World Cup 2022 in Qatar continue apace amid the COVID-19 pandemic ðŸ‘‡,24
2020-11-20T17:30:05+0000,2020-11-20T19:53:23+0000,Al Jazeera English,"""Republicans will do everything they can to undermine possible bipartisan consensus on Democratic initiatives.""â€” writes Anna Jacobs, for #AJOpinion",15
2020-11-20T17:00:48+0000,2020-11-20T20:10:02+0000,Al Jazeera English,"Amid criticism over its human rights record, Saudi Arabia needs to diversify its economy and it does not have long to do it ðŸ‘‡",16
2020-11-20T16:45:32+0000,2020-11-20T20:07:16+0000,Al Jazeera English,"""Threatening to block government funds to groups that criticise Israel is blatantly unconstitutional."" - ACLU",27
2020-11-20T16:30:26+0000,2020-11-20T18:48:40+0000,Al Jazeera English,"Lebanese journalist Samir Kassir paid the ultimate price for his work when he was killed by a car bomb outside his Beirut home in 2005. This is his story.

Full film via Al Jazeera World: https://aje.io/clvf5",10
2020-11-20T16:01:09+0000,2020-11-20T20:08:34+0000,Al Jazeera English,"As India's gov't continues the ban on high-speed 4G internet on all mobile networks in Kashmir, meet the techies who created apps to overcome the problem ðŸ‘‡",82
2020-11-20T15:30:50+0000,2020-11-20T20:11:58+0000,Al Jazeera English,"Police in South Africa fired tear gas at opposition activists protesting against an alleged ""whites-only"" school party in Cape Town. â¬‡ï¸",205
2020-11-20T15:00:01+0000,2020-11-20T19:30:09+0000,Al Jazeera English,"â€œLetâ€™s rethink the concept of genocide.â€

 #AJOpinion hears from British lawyer Philippe Sands on the 75th anniversary of the Nuremberg trials.",10
2020-11-20T14:30:01+0000,2020-11-20T20:05:08+0000,Al Jazeera English,"UN agencies are planning for the possible arrival of 200,000 refugees in Sudan that are fleeing violence in Ethiopia aje.io/qeh9y",215
2020-11-20T14:15:20+0000,2020-11-20T19:57:23+0000,Al Jazeera English,Uganda's presidential candidate Bobi Wine has been released on bail as the death toll in protests over his arrest rises to 37 â¬‡ï¸,248
2020-11-20T14:00:16+0000,2020-11-20T19:57:29+0000,Al Jazeera English,"Critics warn France's new security bill could undermine efforts to stamp out police-led violence, freedom of press, and the public's right to be informed.ðŸ‘‡",35
2020-11-20T13:40:24+0000,2020-11-20T19:26:02+0000,Al Jazeera English,"Has the COVID-19 pandemic forced us to reevaluate our world?

 In season 2 of â€˜All Hailâ€™, Ali Rae explores the complexities of our global response to the coronavirus.

Tune in for the first episode of #AllHailTheLockdown on Monday!",18
2020-11-20T12:40:49+0000,2020-11-20T18:29:42+0000,Al Jazeera English,"Two Thai high school student leaders will be charged for joining a banned protest last month, said police ðŸ‘‰ https://aje.io/5rgjg",12
2020-11-20T12:05:28+0000,2020-11-20T20:02:18+0000,Al Jazeera English,"On this day in 1945, a series of military tribunals began in Germany's Nuremberg. 75 years later, we hear from the son of one of the men convicted of war crimes and crimes against humanity.",18
2020-11-20T11:44:39+0000,2020-11-20T19:22:32+0000,Al Jazeera English,"Hong Kong confirmed 26 new COVID-19 infections, prompting Health Secretary Sophia Chan to say the self-governing territory has â€œprobably enteredâ€ a fourth wave of infections ðŸ‘‰ https://aje.io/zwg3q",16
2020-11-20T11:20:49+0000,2020-11-20T18:05:50+0000,Al Jazeera English,"Tonoyan's resignation comes after Foreign Minister Zohrab Mnatsakanyan quit his post on Monday, as Prime Minister Nikol Pashinyan is under pressure from opposition politicians and protesters to step down over the Nagorno-Karabakh peace deal â¬‡ï¸",33
2020-11-20T10:29:53+0000,2020-11-20T18:42:02+0000,Al Jazeera English,"Peace in Palestine cannot be achieved amid unlawful demolitions ðŸ‘‰ https://aje.io/s6x5g â€” #AJOpinion, by Alaa Tartir & Jeremy Wildeman",62
2020-11-20T19:32:02+0000,2020-11-20T20:27:29+0000,ABC News,"""We haven't seen anything like this in the modern eraâ€”a sitting president trying to basically subvert the election.â€
 
Pres. Donald J. Trumpâ€™s efforts to flip Michigan election results raise significant legal, ethical questions, experts tell ABC News. https://abcn.ws/3pMCEz4",510
2020-11-20T19:27:44+0000,2020-11-20T20:26:58+0000,ABC News,"OFFER A LIFT: A loader in Alexandria, Egypt, served as a novel mode of transportation for residents as water flooded a busy roadway from heavy rainfall in the area. https://abcn.ws/3kY4YLn",7
2020-11-20T18:58:02+0000,2020-11-20T20:27:04+0000,ABC News,How Thanksgiving could supercharge COVID-19 transmission rates: https://abcn.ws/3nLpBfc,40
2020-11-20T18:31:39+0000,2020-11-20T20:27:25+0000,ABC News,"Why even a small Thanksgiving could be dangerous, via FiveThirtyEight: https://abcn.ws/2HleQRx",138
2020-11-20T18:00:06+0000,2020-11-20T20:26:44+0000,ABC News,"â€œI thought there was going to be a lot more charges for a lot more officers.""

Grand jurors in the #BreonnaTaylor case recall the ""uproar"" in the jury room when no homicide charges were presented, in a new ABC News and Courier Journal interview. #ABC2020 #SayHerName https://abcn.ws/3nxCGc8",8
2020-11-20T17:39:49+0000,2020-11-20T20:27:32+0000,ABC News,"UPDATE: In a new press release, Georgia issues correction, says general election results will be certified today; the certification has not occurred yet. abcn.ws/3fkztcR",620
2020-11-20T17:23:46+0000,2020-11-20T20:26:37+0000,ABC News,Treasury Sec. Steven Mnuchin says he will not extend a handful of the emergency lending programs the Federal Reserve implemented earlier this year to buoy the economy amid the coronavirus pandemic.,144
2020-11-20T17:05:26+0000,2020-11-20T20:26:59+0000,ABC News,"In an effort to overturn his election loss, President Trump has invited Michigan's top state lawmakers to visit the White House today for a meeting. The extraordinary maneuver comes as the Trump team runs out of legal options over baseless claims the election was rigged.

PLUS, more than 150,000 Americans have now died from Covid-19. A stunning ABC News investigation looks at the communities hit the hardest by the disease.

Like On Location for new episodes",295
2020-11-20T17:01:57+0000,2020-11-20T20:26:47+0000,ABC News,"Not even a global pandemic can get in the way of Santa's sleigh, according to Dr. Anthony Fauci. https://abcn.ws/3932UiO",66
2020-11-20T16:37:03+0000,2020-11-20T20:26:52+0000,ABC News,NEW: Border Patrol emails obtained by ABC News offer a rare glimpse into how quickly government agencies usually take action to prepare for a new administrationâ€”efforts current officials say are on hold right now across the U.S. government. https://abcn.ws/36QDsKI,127
